Дата,Текст
2025-03-28 17:23:14,"**Краткий обзор экономической повестки дня:**

🔹 Арбитражный суд Калининградской области полностью удовлетворил иск Генпрокуратуры РФ к компаниям из цепочки владения нефтесервисным холдингом ""Борец"".

🔹 Банк России отказал ПАО ""ВК Технологии"" (VK Tech) в государственной регистрации допэмиссии обыкновенных акций и регистрации проспекта ценных бумаг, размещаемых по открытой подписке.

🔹 Выручка ПАО ""Акрон"" по РСБУ в 2024 году выросла на 17% и составила 147,8 млрд рублей.

🔹 ЦБ РФ внес Озон банк в список кредитных организаций, признанных Банком России значимыми на рынке платежных услуг.

🔹 Акционеры группы ""Черкизово"" на годовом собрании в четверг утвердили дивиденды по итогам 2024 года в 98,92 рубля на акцию.

🔹 Чистая прибыль ""Транснефти"" по МСФО в 2024 году составила 287,7 млрд руб. против 304,2 млрд руб. годом ранее.

🔹 Совет директоров ""Селигдара"" рекомендовал не выплачивать финальные дивиденды за 2024 год.

🔹 Акционеры кипрской компании Ros Agro Plc (бывшая холдинговая структура группы ""Русагро"") на внеочередном собрании приняли решение о делистинге депозитарных расписок c Московской и Астанинской бирж.

🔹 Данные за первые месяцы 2025 года говорят о продолжении расширения производства и выравнивании спроса, что не приводит к дальнейшему раскручиванию инфляции и ослаблению рубля, отметила председатель Банка России Эльвира Набиуллина.

#итогидня
@ifax_go"
2025-03-28 15:59:23,"**🇷🇺Рынок акций РФ в пятницу упал к 3025п по индексу МосБиржи во главе с ""Газпромом""**

Рынок акций РФ в пятницу снизился в отсутствие позитивных известий относительно новых официальных российско-американских контактов по вопросу мирного урегулирования конфликта на Украине, а также на фоне ухудшения внешней фондовой и нефтяной конъюнктуры. Индекс МосБиржи упал до 3025 пунктов, зафиксировав снижение восьмые торги подряд, локомотивом отката выступили акции ""Газпрома"" (-4,8%).

По итогам основных торгов индекс МосБиржи составил 3025,65 пункта (-1,9%, минимум сессии - 3001,62 пункта), индекс РТС - 1139,02 пункта (-1,7%); цены большинства ""голубых фишек"" на Мосбирже снизились в пределах 6,5%.

За неделю индексы РТС и МосБиржи упали на 4,1-5,2%, доллар от ЦБ РФ подешевел на 0,96 рубля.

@ifax_go"
2025-03-28 15:43:21,"🛢**Brent подешевела до $73,65 за баррель**

Цены на нефть усилили снижение вечером в пятницу после выхода статданных по экономике США.

Стоимость майских фьючерсов на сорт Brent на лондонской бирже ICE Futures по данным на 18:19 мск составляет $73,65 за баррель, что на $0,38 (0,51%) ниже, чем на закрытие предыдущих торгов.

Фьючерсы на нефть WTI на май на торгах Нью-Йоркской товарной биржи снизились в цене к этому времени на $0,39 (0,56%), до $69,53 за баррель.

@ifax_go"
2025-03-28 15:35:21,"✍️**ЦБ РФ отмечает расширение производства и выравнивание спроса, что не ведет к дальнейшему раскручиванию инфляции**

__""Наши решения выверены таким образом, чтобы рост спроса пришел в соответствие с производственными возможностями экономики. Первые месяцы 2025 года дают основания говорить о том, что этот баланс постепенно восстанавливается. Рост цен замедляется, а рост экономики продолжается более умеренными темпами. Иначе говоря, производственные возможности продолжают расширяться, а вот спрос становится более сбалансированным и не ведет к дальнейшему раскручиванию инфляции и ослаблению рубля""__, - говорится в заявлении председателя Банка России Эльвиры Набиуллиной, опубликованном в годовом отчете ЦБ.

Инфляция в 2024 году сложилась выше ожиданий Банка России, отмечается в документе.

Усиление инфляционного давления в 2024 году потребовало дополнительного ужесточения денежно-кредитной политики (ДКП). Во втором полугодии 2024 года ключевая ставка была повышена в общей сложности на 5 процентных пунктов (п.п.), до 21% годовых.

Повышение ключевой ставки во втором полугодии 2024 года стало транслироваться в замедление кредитования - сначала только в потребительском сегменте, а затем и в корпоративном.

__""По оценке Банка России, переход к более сбалансированным темпам кредитования уменьшит импульс к избыточному расширению спроса и, следовательно, **обеспечит возобновление дезинфляции в первой половине 2025 года**"",__ - отмечает Банк России.

@ifax_go"
2025-03-28 14:38:45,"**Официальные курсы ЦБ РФ с 29 марта - 83,6813 руб./$1 и 89,6553 руб.****/EUR1**

@interfaxonline"
2025-03-28 14:24:37,"**Акционеры кипрской Ros Agro приняли решение о делистинге GDR с Московской и Астанинской бирж**

Акционеры кипрской компании Ros Agro Plc (бывшая холдинговая структура группы ""Русагро"") на внеочередном собрании приняли решение о делистинге депозитарных расписок c Московской и Астанинской бирж, сообщает компания.

Акции ПАО ""Группа ""Русагро"" продолжают обращаться на Московской бирже под тикером RAGR в штатном режиме.

Как сообщалось, в сентябре 2024 года Арбитражный суд Московской области удовлетворил иск Минсельхоза РФ к Ros Agro Plc о приостановке корпоративных прав в отношении российской дочерней структуры - ПАО ""Группа ""Русагро"". Десятый Арбитражный апелляционный суд 28 октября оставил решение в силе. Арбитражный суд Московского округа отклонил жалобу на решение судов нижестоящих инстанций. Подробности заседаний не публиковались, дело слушается в закрытом режиме.

В июле 2024 года компания была включена в список экономически значимых организаций (ЭЗО). 

@ifax_go"
2025-03-28 13:47:09,"**🇺🇸Индексы США теряют 0,2-0,5% в начале торгов**

Американские фондовые индексы снижаются в начале торгов в пятницу, инвесторы оценивают статданные и новости компаний.

Доходы населения США в феврале подскочили на 0,8% по сравнению с предыдущим месяцем, максимальными темпами с января прошлого года, говорится в опубликованном в пятницу отчете министерства торговли страны. Опрошенные Bloomberg аналитики ожидали намного более умеренного подъема, на 0,4%.

Расходы американцев увеличились на 0,4% при ожидавшемся росте на 0,5%.

Индекс PCE Core, который не учитывает стоимость продуктов питания и энергоресурсов, поднялся на 0,4% относительно предыдущего месяца и на 2,8% в годовом выражении. Аналитики ожидали роста на 0,3% и 2,7% соответственно. В январе подъем показателей составил 0,3% и 2,7%.

Федеральная резервная система внимательно отслеживает динамику индекса PCE Core при оценке рисков инфляции.

🔻Dow Jones к 17:36 мск понизился на 0,17% и составил 42226,46 пункта.

🔻S&P 500 уменьшился на 0,27% - до 5677,96 пункта.

🔻Nasdaq потерял 0,45% и составил 17723,66 пункта.

@ifax_go"
2025-03-28 13:33:31,"**СД ""Селигдара"" рекомендовал не выплачивать финальные дивиденды за 2024 год**

Совет директоров ""Селигдара"" рекомендовал не выплачивать финальные дивиденды за 2024 год, сообщила компания.

Годовое собрание акционеров назначено на 30 апреля. Лица, имеющие право на участие в собрании, определяются по состоянию на 8 апреля.

По результатам I полугодия 2024 года ""Селигдар"" выплатил 4 рубля на акцию на общую сумму 4,12 млрд рублей.

@ifax_go"
2025-03-28 13:08:32,"**Чистая прибыль ""Транснефти"" по МСФО в 2024 году составила 287,7 млрд рублей**

Чистая прибыль ""Транснефти"" по МСФО в 2024 году составила 287,7 млрд руб. против 304,2 млрд руб. годом ранее, сообщила компания.

Аналитики, опрошенные ""Интерфаксом"", ожидали данный показатель на уровне 263 млрд руб.

На динамику чистой прибыли оказал существенное влияние осуществленный в соответствии со стандартами МСФО пересчет отложенных налоговых активов и обязательств в связи с увеличением ставки по налогу на прибыль с 1 января 2025 года, увеличивший расходы по налогу на прибыль за 2024 год на 35 млрд руб., пояснила компания.

В 2024 году выручка группы ""Транснефть"" увеличилась на 93 млрд руб. или на 7% - до 1,424 трлн руб. Прибыль до вычета процентов, налога на прибыль амортизации и обесценения (EBITDA) составила 545 млрд руб., несущественно снизившись относительно 2023 года.

@ifax_go"
2025-03-28 12:57:55,"**""Русал"" разместил бонды на 650 млн юаней с расчетами в рублях**

МКПАО ""ОК ""Русал"" завершило размещение годовых облигаций серии БО-001P-12 объемом 650 млн юаней с расчетами в рублях, сообщила компания на ленте раскрытия информации.

Сбор заявок на выпуск прошел 26 марта. При открытии книги заявок ориентир ставки 1-го купона составлял не выше 11% годовых, в ходе маркетинга он был снижен до 10,90-10,95% годовых. Ставка 1-го купона установлена на уровне 10,9%.

Номинал одной облигации - 1 тыс. юаней, купоны - ежемесячные.

Организаторами размещения выступили Газпромбанк и Совкомбанк. Облигации доступны для приобретения неквалифицированными инвесторами.

@ifax_go"
