Дата,Текст
2025-02-27 17:24:22,"**Краткий обзор экономической повестки дня:**

🔹 Ozon в IV квартале нарастил GMV на 52% - до 953 млрд руб., скорр. EBITDA составила 16,8 млрд руб.

🔹 Правительство вводит запрет на экспорт автомобильного бензина с 1 марта по 31 августа, ограничение не распространяется на поставки, осуществляемые непосредственными производителями нефтепродуктов.

🔹 Инвесторам с 27 февраля стали доступны сделки с паями биржевых паевых инвестиционных фондов (БПИФ) на утренней торговой сессии фондового рынка ""Московской биржи"".

🔹 Сбербанк в 2024 году увеличил чистую прибыль по МСФО на 4,8% - до 1,580 трлн руб., в IV квартале - сократил на 1,8%, до 353 млрд руб.

🔹 Сбербанк планирует выплатить дивиденды за 2024 год в полном объеме (не менее 50% от чистой прибыли), заявил президент - председатель правления банка Герман Греф.

🔹 Выручка Fix Price в IV квартале 2024 года выросла на 7,4% по сравнению с аналогичным периодом прошлого года и составила 87,7 млрд рублей.

🔹 ЦБ РФ больше не будет давать банкам скидку по выполнению норматива краткосрочной ликвидности, заявила глава ЦБ Эльвира Набиуллина, выступая на ежегодной встрече банкиров с руководством Банка России.

🔹 Банк России отмечает возможный разворот проинфляционных факторов, в частности, прекращение роста напряженности на рынке труда, нужно будет еще оценить устойчивость этих трендов, заявила председатель ЦБ Эльвира Набиуллина.

🔹 Чистая прибыль ""СИБУР Холдинга"" по РСБУ в 2024 году составила 166,62 млрд рублей по сравнению с 90,74 млрд рублей годом ранее.

#итогидня
@ifax_go"
2025-02-27 16:10:35,"🛢**Brent подорожала до $73,92 за баррель**

Подъем цен на нефть ускорился в четверг на новости об ужесточении американских санкций против Венесуэлы.

Апрельские фьючерсы на сорт Brent на лондонской бирже ICE Futures по данным на 18:55 мск подорожали на $1,39 (1,92%), до $73,92 за баррель.

Фьючерсы на нефть WTI на апрель на Нью-Йоркской товарной бирже выросли в цене к этому времени на $1,48 (2,16%), до $70,1 за баррель.

Накануне обе марки завершили торги на минимуме с 10 декабря.

@ifax_go"
2025-02-27 15:58:57,"🇷🇺**Рынок акций РФ в четверг сбавил темпы снижения, индекс МосБиржи просел к 3230п**

Рынок акций РФ в четверг сбавил темпы коррекционного снижения из-за фиксации прибыли игроками, локальную поддержку оказали заявления президента РФ Владимира Путина о том, что первые контакты с новой администрацией США вселяют определенные надежды на восстановление межгосударственных отношений; негативным фактором для рынка остаются ожидания пролонгации жесткой монетарной политики ЦБ РФ из-за высокой инфляции. Индекс МосБиржи завершил дневную сессию в районе 3230 пунктов на фоне ослабления рубля; в лидерах снижения выступили акции ""Эн+ груп"" (-5,1%), ""Ростелекома"" (-4,6%) и ПАО ""Группа компаний ПИК"" (-4,5%).

По итогам торгов индекс МосБиржи составил 3232,65 пункта (-1,3%, днем индекс падал в район 3190 пунктов), индекс РТС - 1161,23 пункта (-3,3%); цены большинства ""голубых фишек"" на Мосбирже снизились в пределах 4%.

Официальный курс доллара США, установленный ЦБ РФ с 28 февраля, составил 87,6967 руб. (+1,77 рубля).

@ifax_go"
2025-02-27 15:20:02,"**🇺🇸Рынок акций США движется разнонаправленно на статданных и отчетностях**

Американские фондовые индексы меняются без единой динамики в начале торгов в четверг, участники рынка оценивают макроэкономические статданные и корпоративные отчетности, а также заявления президента США Дональда Трампа по поводу импортных пошлин.

Министерство торговли США в четверг опубликовало пересмотренные данные о динамике ВВП в четвертом квартале, подтвердившие, что американская экономика в октябре-декабре прошлого года увеличилась на 2,3% в пересчете на годовые темпы. Аналитики, принимавшие участие в опросах Trading Economics и MarketWatch, также не ожидали пересмотра первоначальной оценки.

Между тем Трамп в четверг подтвердил, что намерен с 4 марта ввести пошлины в размере 25% на товары из Мексики и Канады. Кроме того, с этой же даты в отношении товаров из Китая будут введены __""дополнительные пошлины в 10%""__.

Акции Nvidia Corp. дешевеют в начале сессии на 4,2%, хотя американский производитель графических процессоров в четвертом квартале 2025 финансового года существенно увеличил чистую прибыль и выручку.

🔺Dow Jones к 18:06 мск вырос на 0,25% и составил 43542,21 пункта.

🔻S&P 500 уменьшается на 0,3% - до 5937,9 пункта.

🔻Nasdaq потерял 0,96% и составил 18892,96 пункта.

@ifax_go"
2025-02-27 14:49:43,"💵💶**Официальные курсы ЦБ РФ с 28 февраля - 87,6967 руб./$1 и 92,0362 руб.****/EUR1**

@ifax_go"
2025-02-27 13:54:52,"**ЦБ РФ зарегистрировал допэмиссию Совкомбанка, размещаемую в рамках присоединения ХКФ банка**

ЦБ РФ зарегистрировал допэмиссию акций Совкомбанка, размещаемую в рамках присоединения ХКФ банка (работает под брендом Хоум банк), говорится в сообщении регулятора.

Акционеры Совкомбанка в январе утвердили параметры этой допэмиссии. Кредитная организация разместит 1 млрд 822 млн 283,030 тыс. обыкновенных акций номиналом 0,1 рубля каждая. Объем выпуска по номиналу - 182,2 млн рублей.

@ifax_go"
2025-02-27 13:41:32,"🇺🇸**Оценка роста ВВП США в IV квартале осталась на уровне 2,3%, как и ожидалось**

Экономика США в четвертом квартале 2024 года увеличилась на 2,3% в пересчете на годовые темпы, согласно пересмотренным данным министерства торговли страны.

Таким образом, оценка темпов экономического роста не изменилась по сравнению с предварительно объявленным уровнем. Аналитики, принимавшие участие в опросах Trading Economics и MarketWatch, также не ожидали пересмотра.

@ifax_go"
2025-02-27 13:38:15,"""**СИБУР"" в 2024 году увеличил прибыль по РСБУ почти вдвое**

Чистая прибыль ""СИБУР Холдинга"" по РСБУ в 2024 году составила 166,62 млрд рублей по сравнению с 90,74 млрд рублей годом ранее, говорится в отчетности компании.

Таким образом, показатель в 1,84 раза превысил результат прошлого года.

Выручка увеличилась на 17,5% - до 1,2 трлн рублей. Себестоимость росла чуть более опережающими темпами - на 22%, до 851,8 млрд рублей. Валовая прибыль выросла на 8,1% - до 360,4 млрд рублей.

Прибыль от продаж увеличилась на 7,6% - до 255,8 млрд рублей. Прибыль до налогообложения выросла в 1,6 раза, составив около 194,96 млрд рублей.

В четвертом квартале чистая прибыль компании составила всего 626,64 млн рублей (прибыль за 9 месяцев - 165,99 млрд рублей). Существенное влияние на нее могли оказать ""проценты к уплате"": в IV квартале компании пришлось выплатить 27,8 млрд рублей, что существенно выше среднеквартальных выплат 2024 года (в диапазоне 15,5-18,4 млрд рублей). Кроме того, пока не учтены доходы ""СИБУР Холдинга"" за четвертый квартал от участия в других организациях: в отчетах за январь-сентябрь и за весь год указано одно и то же значение - 37,598 млрд рублей.

@ifax_go"
2025-02-27 12:42:38,"🔮**Дайджест инвестпрогнозов:**

🔹 Дивидендная доходность акций ""Ростелекома"" по итогам 2024 года может составить 8-9%, но неопределенность в этом вопросе пока сохраняется, оценка акций негативная, говорится в материале аналитиков ""БКС Мир инвестиций"". 

🔹 ""Мои Инвестиции"" позитивно оценивают акции ""Ростелекома"" с прогнозной стоимостью 93-95 рублей за штуку на горизонте года. 

🔹 ""Финам"" открыл торговую идею ""покупать акции Сбербанка с целью 360 рублей за штуку"" с горизонтом инвестирования 1 месяц. Цена входа: текущая рыночная, потенциальная доходность: 16%, стоп-приказ: 280 рублей. 

🔹 ""Финам"" пока сохраняет ожидания пика ключевой ставки Банка России на уровне 21% годовых с возможным началом ее снижения с июня-июля 2025 года и с выходом на 17-18% годовых к концу текущего года, но неопределенность различных альтернативных сценариев остается высокой. 

🔹 Инвесторам стоит обратить внимание на новый выпуск облигаций ПАО ""Группа ЛСР"" серии 001P-10, потенциальный доход за полгода и год может достигнуть 15% и 30% соответственно, что выглядит привлекательно, говорится в материале аналитика ""БКС Мир инвестиций"". 

🔹 ""Т-Инвестиции"" сохраняют позитивную оценку бумаг Ozon с прогнозной стоимостью на уровне 5000 рублей за штуку. 

🔹 Индекс госбумаг (RGBI), вероятно, перейдет к консолидации на достигнутых уровнях (107-108 пунктов) в ближайшее время, говорится в материале аналитика Промсвязьбанка. 

🔹 Рост объемов экспорта и снижение импорта оказывают поддержку стоимости рубля, говорится в комментарии аналитика Freedom Finance Global.

🔹 Акции Сбербанка, МКПАО ""Т-Технологии"" и Совкомбанка являются фаворитами российского банковского сектора и остаются привлекательными для долгосрочных вложений, считают аналитики сервиса ""Газпромбанк Инвестиции"".

🔹 Прогнозная стоимость акций ГК ""Самолет"" на горизонте года составляет 1630 рублей за штуку, считает аналитик Freedom Finance Global.

🔹 Котировки акций ГК ""Самолет"" могут вернуться в зону выше 2000 рублей за штуку в среднесрочной перспективе, долгосрочная цель - на уровне 2740 рублей за штуку, считают аналитики Промсвязьбанка. 

🔹 Аналитики ""Цифра брокер"" составили список перспективных дивидендных акций, в который вошли бумаги ""ЛУКОЙЛа"", МФК ""Займер"", ""ИКС 5"", ""Роснефти"" и ""Сургутнефтегаза"". 

🔹 Альфа-банк подтверждает рекомендацию ""держать"" для акций ""Юнипро"". 

🔹 Котировки акций Intuit Inc. и Li Auto могут продолжить подъем в ближайшее время, считают аналитики инвестиционного банка ""Синара"".

#экспертыотмечают #прогноз
@ifax_go"
2025-02-27 10:33:38,"**🗣Греф: Сбербанк за 2024 год заплатит дивиденды в полном объеме**

__""Я не могу гарантировать, что будет через три года, потому что я не знаю, что со всеми с нами будет, но в этом году за прошлый год мы, конечно же, заплатим дивиденды в полном объеме. Мы проползли по достаточности капитала в 13,3%, у нас шансов не платить дивиденды, и мы делали все для того, чтобы таких шансов не было. Мы, конечно же, заплатим все дивиденды""__, -  заявил президент - председатель правления банка Герман Греф в ходе конференц-звонка.

Стратегия Сбербанка предусматривает направление на выплату дивидендов не менее 50% чистой прибыли по МСФО при уровне достаточности общего капитала Н20.0 не ниже 13,3%. Банк в 2024 году увеличил чистую прибыль по МСФО на 4,8% - до 1 трлн 580,3 млрд руб. Таким образом, на выплату дивидендов может быть направлено около 790 млрд рублей (по итогам 2023 года Сбер направил на дивиденды 752 млрд рублей).

Банк приложит все усилия, чтобы соблюсти баланс между необходимостью поддержания достаточности капитала, инвестициями в развитие и выплатой дивидендов, добавил Греф. 
__
""Я не могу гарантировать вам, что мы в следующие три года будем платить все запланированные дивиденды, потому что слишком волатилен мир. Знаете, under promise, over deliver (обещай меньше, давай больше - ИФ). Поэтому я бы был безответственным человеком в собственных же глазах и в глазах моей команды (мы все такие), если бы я сейчас разбрасывался обещаниями"",__ - подчеркнул глава Сбербанка. 
__
""Но могу только сказать, что мы будем делать все, чтобы все эти задачи (капитал, инвестиции, дивиденды - ИФ) упаковать в полное выполнение обязательств перед всеми""__, - добавил он.

@ifax_go"
